id	population	Super-population	GTFreq_00	GTFreq_01	GTFreq_11	REF_Freq	ALT_Freq
99_1	SIB	EAS	0.6603370221327968	0.2809356136820926	0.0587273641851106	0.8008048289738431	0.1991951710261569
99_2	SIB	EAS	0.670145875251509	0.2819416498993963	0.0479124748490945	0.8111167002012072	0.1888832997987928
99_4	SIB	EAS	0.6719064386317908	0.2738933601609657	0.0542002012072434	0.8088531187122736	0.1911468812877264
98_1	SIB	EAS	0.6741700201207244	0.2708752515090543	0.0549547283702213	0.8096076458752515	0.1903923541247485
98_2	SIB	EAS	0.6602112676056338	0.2793008048289738	0.0604879275653923	0.7998616700201207	0.2001383299798793
98_4	SIB	EAS	0.6732897384305835	0.272510060362173	0.0542002012072434	0.80954476861167	0.1904552313883299
98_3	SIB	EAS	0.6680080482897385	0.2765342052313883	0.0554577464788732	0.8062751509054327	0.1937248490945673
98_5	SIB	EAS	0.6662474849094567	0.2804325955734406	0.0533199195171026	0.806463782696177	0.1935362173038229
97_2	SIB	EAS	0.6632293762575453	0.2738933601609657	0.0628772635814889	0.8001760563380282	0.1998239436619717
97_1	SIB	EAS	0.6539235412474849	0.2884808853118712	0.0575955734406438	0.7981639839034205	0.2018360160965795
97_4	SIB	EAS	0.66511569416499	0.2755281690140845	0.0593561368209255	0.8028797786720322	0.1971202213279678
97_3	SIB	EAS	0.6509054325955734	0.2881036217303823	0.0609909456740442	0.7949572434607646	0.2050427565392354
96_1	SIB	EAS	0.6600855130784709	0.2848340040241449	0.0550804828973843	0.8025025150905433	0.1974974849094567
96_2	SIB	EAS	0.6613430583501007	0.2830734406438632	0.0555835010060362	0.8028797786720323	0.1971202213279677
96_3	SIB	EAS	0.6658702213279678	0.278169014084507	0.0559607645875251	0.8049547283702213	0.1950452716297787
96_4	SIB	EAS	0.6578219315895373	0.2891096579476861	0.0530684104627766	0.8023767605633804	0.1976232394366196
95_1	SIB	EAS	0.6618460764587525	0.2818158953722334	0.056338028169014	0.8027540241448692	0.1972459758551308
95_2	SIB	EAS	0.6659959758551308	0.2829476861167002	0.051056338028169	0.8074698189134809	0.1925301810865191
95_4	SIB	EAS	0.658702213279678	0.2869718309859155	0.0543259557344064	0.8021881287726358	0.1978118712273642
95_3	SIB	EAS	0.658702213279678	0.2869718309859155	0.0543259557344064	0.8021881287726358	0.1978118712273642
94_1	SIB	EAS	0.6672535211267606	0.2735160965794768	0.0592303822937625	0.8040115694164991	0.1959884305835009
94_2	SIB	EAS	0.6566901408450704	0.2837022132796781	0.0596076458752515	0.7985412474849094	0.2014587525150906
94_4	SIB	EAS	0.6603370221327968	0.2767857142857143	0.0628772635814889	0.7987298792756539	0.2012701207243461
94_3	SIB	EAS	0.6556841046277666	0.2889839034205231	0.0553319919517102	0.8001760563380282	0.1998239436619717
93_2	SIB	EAS	0.6602112676056338	0.2815643863179074	0.0582243460764587	0.8009934607645874	0.1990065392354125
93_3	SIB	EAS	0.6749245472837022	0.2684859154929577	0.05658953722334	0.8091675050301811	0.1908324949698189
93_4	SIB	EAS	0.6681338028169014	0.2740191146881288	0.0578470824949698	0.8051433601609658	0.1948566398390342
92_1	SIB	EAS	0.6614688128772636	0.2803068410462777	0.0582243460764587	0.8016222334004024	0.1983777665995976
92_5	SIB	EAS	0.670523138832998	0.2697434607645875	0.0597334004024144	0.8053948692152917	0.1946051307847083
92_2	SIB	EAS	0.6690140845070423	0.27238430583501	0.0586016096579476	0.8052062374245472	0.1947937625754527
92_3	SIB	EAS	0.6615945674044266	0.2779175050301811	0.0604879275653923	0.8005533199195172	0.1994466800804828
92_4	SIB	EAS	0.6603370221327968	0.2816901408450704	0.0579728370221327	0.801182092555332	0.1988179074446679
91_1	SIB	EAS	0.6727867203219315	0.2765342052313883	0.05067907444668	0.8110538229376257	0.1889461770623742
91_2	SIB	EAS	0.6524144869215291	0.2858400402414487	0.0617454728370221	0.7953345070422535	0.2046654929577465
91_3	SIB	EAS	0.6545523138832998	0.2923792756539235	0.0530684104627766	0.8007419517102616	0.1992580482897383
91_4	SIB	EAS	0.6614688128772636	0.2860915492957746	0.0524396378269617	0.8045145875251509	0.195485412474849
90_1	SIB	EAS	0.6638581488933601	0.278546277665996	0.0575955734406438	0.8031312877263581	0.1968687122736419
90_2	SIB	EAS	0.6575704225352113	0.2761569416498994	0.0662726358148893	0.795648893360161	0.204351106639839
90_3	SIB	EAS	0.6595824949698189	0.2803068410462777	0.0601106639839034	0.7997359154929577	0.2002640845070422
9_1	SIB	EAS	0.6658702213279678	0.2793008048289738	0.0548289738430583	0.8055206237424547	0.1944793762575453
9_2	SIB	EAS	0.6830985915492958	0.2645875251509054	0.0523138832997987	0.8153923541247485	0.1846076458752514
9_4	SIB	EAS	0.6638581488933601	0.2779175050301811	0.0582243460764587	0.8028169014084507	0.1971830985915492
9_3	SIB	EAS	0.6637323943661971	0.2819416498993963	0.0543259557344064	0.8047032193158953	0.1952967806841047
9_6	SIB	EAS	0.6737927565392354	0.2757796780684104	0.0504275653923541	0.8116825955734407	0.1883174044265593
9_5	SIB	EAS	0.6734154929577465	0.2701207243460765	0.056463782696177	0.8084758551307847	0.1915241448692153
89_1	SIB	EAS	0.6773138832997988	0.2754024144869215	0.0472837022132796	0.8150150905432596	0.1849849094567404
89_2	SIB	EAS	0.6527917505030181	0.289486921529175	0.0577213279678068	0.7975352112676056	0.2024647887323943
89_4	SIB	EAS	0.6686368209255533	0.2771629778672032	0.0542002012072434	0.807218309859155	0.192781690140845
